Altitude (z),Temperature (K),Pressure,Density
2.421e+06,1.18253e+06,1498.92,7.67804e-08
2.422e+06,1.1827e+06,1498.25,7.67348e-08
2.423e+06,1.18287e+06,1497.58,7.66898e-08
2.424e+06,1.18304e+06,1496.93,7.66451e-08
2.425e+06,1.18321e+06,1496.27,7.6601e-08
2.426e+06,1.18337e+06,1495.63,7.65573e-08
2.427e+06,1.18354e+06,1494.99,7.6514e-08
2.428e+06,1.1837e+06,1494.36,7.64712e-08
2.429e+06,1.18386e+06,1493.73,7.64289e-08
2.43e+06,1.18402e+06,1493.11,7.6387e-08
2.431e+06,1.18417e+06,1492.5,7.63455e-08
2.432e+06,1.18433e+06,1491.89,7.63044e-08
2.433e+06,1.18448e+06,1491.29,7.62638e-08
2.434e+06,1.18463e+06,1490.7,7.62236e-08
2.435e+06,1.18479e+06,1490.11,7.61838e-08
2.436e+06,1.18494e+06,1489.53,7.61444e-08
2.437e+06,1.18508e+06,1488.95,7.61054e-08
2.438e+06,1.18523e+06,1488.38,7.60668e-08
2.439e+06,1.18537e+06,1487.81,7.60286e-08
2.44e+06,1.18552e+06,1487.25,7.59908e-08
2.441e+06,1.18566e+06,1486.7,7.59534e-08
2.442e+06,1.1858e+06,1486.15,7.59164e-08
2.443e+06,1.18594e+06,1485.61,7.58797e-08
2.444e+06,1.18608e+06,1485.07,7.58435e-08
2.445e+06,1.18622e+06,1484.54,7.58076e-08
2.446e+06,1.18635e+06,1484.02,7.57721e-08
2.447e+06,1.18649e+06,1483.5,7.57369e-08
2.448e+06,1.18662e+06,1482.98,7.57021e-08
2.449e+06,1.18675e+06,1482.47,7.56677e-08
2.45e+06,1.18688e+06,1481.96,7.56336e-08
2.451e+06,1.18701e+06,1481.46,7.55998e-08
2.452e+06,1.18714e+06,1480.97,7.55665e-08
2.453e+06,1.18727e+06,1480.48,7.55334e-08
2.454e+06,1.18739e+06,1480,7.55007e-08
2.455e+06,1.18751e+06,1479.52,7.54683e-08
2.456e+06,1.18764e+06,1479.04,7.54363e-08
2.457e+06,1.18776e+06,1478.57,7.54046e-08
2.458e+06,1.18788e+06,1478.1,7.53732e-08
2.459e+06,1.188e+06,1477.64,7.53421e-08
2.46e+06,1.18812e+06,1477.19,7.53114e-08
2.461e+06,1.18823e+06,1476.74,7.52809e-08
2.462e+06,1.18835e+06,1476.29,7.52508e-08
2.463e+06,1.18847e+06,1475.85,7.5221e-08
2.464e+06,1.18858e+06,1475.41,7.51915e-08
2.465e+06,1.18869e+06,1474.98,7.51622e-08
2.466e+06,1.1888e+06,1474.55,7.51333e-08
2.467e+06,1.18891e+06,1474.12,7.51047e-08
2.468e+06,1.18902e+06,1473.7,7.50764e-08
